text,label
What do you call fake spaghetti? An impasta.,1
I couldn’t figure out how to put my seatbelt on. Then it clicked.,1
What do you call a pile of cats? A meow-tain.,1
I accidentally swallowed a couple of Scrabble tiles. My next trip to the bathroom could spell disaster.,1
"I’d tell you a chemistry joke, but I know I wouldn’t get a reaction.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I'm a huge fan of wind turbines. I think they're absolutely fan-tastic.,1
I tried to start a band called '1023MB' – we haven't got a gig yet.,1
I just found out I’m allergic to rubber. I’m having a latex reaction.,1
I don’t trust people who do acupuncture—they’re back stabbers.,1
I got a job at a bakery because I kneaded dough.,1
I don’t trust stairs because they’re always up to something.,1
"I’d tell you a joke about an elevator, but it’s an uplifting experience.",1
"I used to be a baker, but I couldn't make enough dough.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I don't trust stairs. They're always up to something.,1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
Why don't skeletons fight each other? They don't have the guts.,1
"I have a fear of speed bumps, but I'm slowly getting over it.",1
I don't trust people who do acupuncture—they're back stabbers.,1
I once got into a fight with a broken pencil. It was pointless.,1
I'm on a whiskey diet. I’ve lost three days already.,1
I’m friends with all electricians because we have good current connections.,1
"I asked the librarian if the library had any books on suicide prevention. She said, 'They’re in the back, but I’m afraid you’ll check them out.'",1
"I know a joke about a pencil, but it’s pointless.",1
I once got into a fight with a broken pencil. It was pointless.,1
"I used to play piano by ear, but now I use my hands.",1
"I walked into a store and asked the clerk if they had any 2023 calendars. He said, 'No, we’re all out of dates.'",1
Why did the scarecrow win an award? Because he was outstanding in his field.,1
I can't believe I got fired from the calendar factory. All I did was take a day off.,1
"I told my computer I needed a break, and now it won’t stop sending me Kit-Kats.",1
"I used to play piano by ear, but now I use my hands.",1
I tried to catch some fog yesterday. I mist.,1
"I don’t suffer from insanity, I enjoy every minute of it.",1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
What do you call fake spaghetti? An impasta.,1
I couldn’t figure out how to put my seatbelt on. Then it clicked.,1
What do you call a pile of cats? A meow-tain.,1
I accidentally swallowed a couple of Scrabble tiles. My next trip to the bathroom could spell disaster.,1
"I’d tell you a chemistry joke, but I know I wouldn’t get a reaction.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I'm a huge fan of wind turbines. I think they're absolutely fan-tastic.,1
I tried to start a band called '1023MB' – we haven't got a gig yet.,1
I just found out I’m allergic to rubber. I’m having a latex reaction.,1
I don’t trust people who do acupuncture—they’re back stabbers.,1
I got a job at a bakery because I kneaded dough.,1
I don’t trust stairs because they’re always up to something.,1
"I’d tell you a joke about an elevator, but it’s an uplifting experience.",1
"I used to be a baker, but I couldn't make enough dough.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I don't trust stairs. They're always up to something.,1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
Why don't skeletons fight each other? They don't have the guts.,1
"I have a fear of speed bumps, but I'm slowly getting over it.",1
I don't trust people who do acupuncture—they're back stabbers.,1
I once got into a fight with a broken pencil. It was pointless.,1
I'm on a whiskey diet. I’ve lost three days already.,1
I’m friends with all electricians because we have good current connections.,1
"I asked the librarian if the library had any books on suicide prevention. She said, 'They’re in the back, but I’m afraid you’ll check them out.'",1
"I know a joke about a pencil, but it’s pointless.",1
I once got into a fight with a broken pencil. It was pointless.,1
"I used to play piano by ear, but now I use my hands.",1
"I walked into a store and asked the clerk if they had any 2023 calendars. He said, 'No, we’re all out of dates.'",1
Why did the scarecrow win an award? Because he was outstanding in his field.,1
I can't believe I got fired from the calendar factory. All I did was take a day off.,1
"I told my computer I needed a break, and now it won’t stop sending me Kit-Kats.",1
"I used to play piano by ear, but now I use my hands.",1
I tried to catch some fog yesterday. I mist.,1
"I don’t suffer from insanity, I enjoy every minute of it.",1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
What do you call fake spaghetti? An impasta.,1
I couldn’t figure out how to put my seatbelt on. Then it clicked.,1
What do you call a pile of cats? A meow-tain.,1
I accidentally swallowed a couple of Scrabble tiles. My next trip to the bathroom could spell disaster.,1
"I’d tell you a chemistry joke, but I know I wouldn’t get a reaction.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I'm a huge fan of wind turbines. I think they're absolutely fan-tastic.,1
I tried to start a band called '1023MB' – we haven't got a gig yet.,1
I just found out I’m allergic to rubber. I’m having a latex reaction.,1
I don’t trust people who do acupuncture—they’re back stabbers.,1
I got a job at a bakery because I kneaded dough.,1
I don’t trust stairs because they’re always up to something.,1
"I’d tell you a joke about an elevator, but it’s an uplifting experience.",1
"I used to be a baker, but I couldn't make enough dough.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I don't trust stairs. They're always up to something.,1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
Why don't skeletons fight each other? They don't have the guts.,1
"I have a fear of speed bumps, but I'm slowly getting over it.",1
I don't trust people who do acupuncture—they're back stabbers.,1
I once got into a fight with a broken pencil. It was pointless.,1
I'm on a whiskey diet. I’ve lost three days already.,1
I’m friends with all electricians because we have good current connections.,1
"I asked the librarian if the library had any books on suicide prevention. She said, 'They’re in the back, but I’m afraid you’ll check them out.'",1
"I know a joke about a pencil, but it’s pointless.",1
I once got into a fight with a broken pencil. It was pointless.,1
"I used to play piano by ear, but now I use my hands.",1
"I walked into a store and asked the clerk if they had any 2023 calendars. He said, 'No, we’re all out of dates.'",1
Why did the scarecrow win an award? Because he was outstanding in his field.,1
I can't believe I got fired from the calendar factory. All I did was take a day off.,1
"I told my computer I needed a break, and now it won’t stop sending me Kit-Kats.",1
"I used to play piano by ear, but now I use my hands.",1
I tried to catch some fog yesterday. I mist.,1
"I don’t suffer from insanity, I enjoy every minute of it.",1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
What do you call fake spaghetti? An impasta.,1
I couldn’t figure out how to put my seatbelt on. Then it clicked.,1
What do you call a pile of cats? A meow-tain.,1
I accidentally swallowed a couple of Scrabble tiles. My next trip to the bathroom could spell disaster.,1
"I’d tell you a chemistry joke, but I know I wouldn’t get a reaction.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I'm a huge fan of wind turbines. I think they're absolutely fan-tastic.,1
I tried to start a band called '1023MB' – we haven't got a gig yet.,1
I just found out I’m allergic to rubber. I’m having a latex reaction.,1
I don’t trust people who do acupuncture—they’re back stabbers.,1
I got a job at a bakery because I kneaded dough.,1
I don’t trust stairs because they’re always up to something.,1
"I’d tell you a joke about an elevator, but it’s an uplifting experience.",1
"I used to be a baker, but I couldn't make enough dough.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I don't trust stairs. They're always up to something.,1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
Why don't skeletons fight each other? They don't have the guts.,1
"I have a fear of speed bumps, but I'm slowly getting over it.",1
I don't trust people who do acupuncture—they're back stabbers.,1
I once got into a fight with a broken pencil. It was pointless.,1
I'm on a whiskey diet. I’ve lost three days already.,1
I’m friends with all electricians because we have good current connections.,1
"I asked the librarian if the library had any books on suicide prevention. She said, 'They’re in the back, but I’m afraid you’ll check them out.'",1
"I know a joke about a pencil, but it’s pointless.",1
I once got into a fight with a broken pencil. It was pointless.,1
"I used to play piano by ear, but now I use my hands.",1
"I walked into a store and asked the clerk if they had any 2023 calendars. He said, 'No, we’re all out of dates.'",1
Why did the scarecrow win an award? Because he was outstanding in his field.,1
I can't believe I got fired from the calendar factory. All I did was take a day off.,1
"I told my computer I needed a break, and now it won’t stop sending me Kit-Kats.",1
"I used to play piano by ear, but now I use my hands.",1
I tried to catch some fog yesterday. I mist.,1
"I don’t suffer from insanity, I enjoy every minute of it.",1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
What do you call fake spaghetti? An impasta.,1
I couldn’t figure out how to put my seatbelt on. Then it clicked.,1
What do you call a pile of cats? A meow-tain.,1
I accidentally swallowed a couple of Scrabble tiles. My next trip to the bathroom could spell disaster.,1
"I’d tell you a chemistry joke, but I know I wouldn’t get a reaction.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I'm a huge fan of wind turbines. I think they're absolutely fan-tastic.,1
I tried to start a band called '1023MB' – we haven't got a gig yet.,1
I just found out I’m allergic to rubber. I’m having a latex reaction.,1
I don’t trust people who do acupuncture—they’re back stabbers.,1
I got a job at a bakery because I kneaded dough.,1
I don’t trust stairs because they’re always up to something.,1
"I’d tell you a joke about an elevator, but it’s an uplifting experience.",1
"I used to be a baker, but I couldn't make enough dough.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I don't trust stairs. They're always up to something.,1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
Why don't skeletons fight each other? They don't have the guts.,1
"I have a fear of speed bumps, but I'm slowly getting over it.",1
I don't trust people who do acupuncture—they're back stabbers.,1
I once got into a fight with a broken pencil. It was pointless.,1
I'm on a whiskey diet. I’ve lost three days already.,1
I’m friends with all electricians because we have good current connections.,1
"I asked the librarian if the library had any books on suicide prevention. She said, 'They’re in the back, but I’m afraid you’ll check them out.'",1
"I know a joke about a pencil, but it’s pointless.",1
I once got into a fight with a broken pencil. It was pointless.,1
"I used to play piano by ear, but now I use my hands.",1
"I walked into a store and asked the clerk if they had any 2023 calendars. He said, 'No, we’re all out of dates.'",1
Why did the scarecrow win an award? Because he was outstanding in his field.,1
I can't believe I got fired from the calendar factory. All I did was take a day off.,1
"I told my computer I needed a break, and now it won’t stop sending me Kit-Kats.",1
"I used to play piano by ear, but now I use my hands.",1
I tried to catch some fog yesterday. I mist.,1
"I don’t suffer from insanity, I enjoy every minute of it.",1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
What do you call fake spaghetti? An impasta.,1
I couldn’t figure out how to put my seatbelt on. Then it clicked.,1
What do you call a pile of cats? A meow-tain.,1
I accidentally swallowed a couple of Scrabble tiles. My next trip to the bathroom could spell disaster.,1
"I’d tell you a chemistry joke, but I know I wouldn’t get a reaction.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I'm a huge fan of wind turbines. I think they're absolutely fan-tastic.,1
I tried to start a band called '1023MB' – we haven't got a gig yet.,1
I just found out I’m allergic to rubber. I’m having a latex reaction.,1
I don’t trust people who do acupuncture—they’re back stabbers.,1
I got a job at a bakery because I kneaded dough.,1
I don’t trust stairs because they’re always up to something.,1
"I’d tell you a joke about an elevator, but it’s an uplifting experience.",1
"I used to be a baker, but I couldn't make enough dough.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I don't trust stairs. They're always up to something.,1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
Why don't skeletons fight each other? They don't have the guts.,1
"I have a fear of speed bumps, but I'm slowly getting over it.",1
I don't trust people who do acupuncture—they're back stabbers.,1
I once got into a fight with a broken pencil. It was pointless.,1
I'm on a whiskey diet. I’ve lost three days already.,1
I’m friends with all electricians because we have good current connections.,1
"I asked the librarian if the library had any books on suicide prevention. She said, 'They’re in the back, but I’m afraid you’ll check them out.'",1
"I know a joke about a pencil, but it’s pointless.",1
I once got into a fight with a broken pencil. It was pointless.,1
"I used to play piano by ear, but now I use my hands.",1
"I walked into a store and asked the clerk if they had any 2023 calendars. He said, 'No, we’re all out of dates.'",1
Why did the scarecrow win an award? Because he was outstanding in his field.,1
I can't believe I got fired from the calendar factory. All I did was take a day off.,1
"I told my computer I needed a break, and now it won’t stop sending me Kit-Kats.",1
"I used to play piano by ear, but now I use my hands.",1
I tried to catch some fog yesterday. I mist.,1
"I don’t suffer from insanity, I enjoy every minute of it.",1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
What do you call fake spaghetti? An impasta.,1
I couldn’t figure out how to put my seatbelt on. Then it clicked.,1
What do you call a pile of cats? A meow-tain.,1
I accidentally swallowed a couple of Scrabble tiles. My next trip to the bathroom could spell disaster.,1
"I’d tell you a chemistry joke, but I know I wouldn’t get a reaction.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I'm a huge fan of wind turbines. I think they're absolutely fan-tastic.,1
I tried to start a band called '1023MB' – we haven't got a gig yet.,1
I just found out I’m allergic to rubber. I’m having a latex reaction.,1
I don’t trust people who do acupuncture—they’re back stabbers.,1
I got a job at a bakery because I kneaded dough.,1
I don’t trust stairs because they’re always up to something.,1
"I’d tell you a joke about an elevator, but it’s an uplifting experience.",1
"I used to be a baker, but I couldn't make enough dough.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I don't trust stairs. They're always up to something.,1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
Why don't skeletons fight each other? They don't have the guts.,1
"I have a fear of speed bumps, but I'm slowly getting over it.",1
I don't trust people who do acupuncture—they're back stabbers.,1
I once got into a fight with a broken pencil. It was pointless.,1
I'm on a whiskey diet. I’ve lost three days already.,1
I’m friends with all electricians because we have good current connections.,1
"I asked the librarian if the library had any books on suicide prevention. She said, 'They’re in the back, but I’m afraid you’ll check them out.'",1
"I know a joke about a pencil, but it’s pointless.",1
I once got into a fight with a broken pencil. It was pointless.,1
"I used to play piano by ear, but now I use my hands.",1
"I walked into a store and asked the clerk if they had any 2023 calendars. He said, 'No, we’re all out of dates.'",1
Why did the scarecrow win an award? Because he was outstanding in his field.,1
I can't believe I got fired from the calendar factory. All I did was take a day off.,1
"I told my computer I needed a break, and now it won’t stop sending me Kit-Kats.",1
"I used to play piano by ear, but now I use my hands.",1
I tried to catch some fog yesterday. I mist.,1
"I don’t suffer from insanity, I enjoy every minute of it.",1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
What do you call fake spaghetti? An impasta.,1
I couldn’t figure out how to put my seatbelt on. Then it clicked.,1
What do you call a pile of cats? A meow-tain.,1
I accidentally swallowed a couple of Scrabble tiles. My next trip to the bathroom could spell disaster.,1
"I’d tell you a chemistry joke, but I know I wouldn’t get a reaction.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I'm a huge fan of wind turbines. I think they're absolutely fan-tastic.,1
I tried to start a band called '1023MB' – we haven't got a gig yet.,1
I just found out I’m allergic to rubber. I’m having a latex reaction.,1
I don’t trust people who do acupuncture—they’re back stabbers.,1
I got a job at a bakery because I kneaded dough.,1
I don’t trust stairs because they’re always up to something.,1
"I’d tell you a joke about an elevator, but it’s an uplifting experience.",1
"I used to be a baker, but I couldn't make enough dough.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I don't trust stairs. They're always up to something.,1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
Why don't skeletons fight each other? They don't have the guts.,1
"I have a fear of speed bumps, but I'm slowly getting over it.",1
I don't trust people who do acupuncture—they're back stabbers.,1
I once got into a fight with a broken pencil. It was pointless.,1
I'm on a whiskey diet. I’ve lost three days already.,1
I’m friends with all electricians because we have good current connections.,1
"I asked the librarian if the library had any books on suicide prevention. She said, 'They’re in the back, but I’m afraid you’ll check them out.'",1
"I know a joke about a pencil, but it’s pointless.",1
I once got into a fight with a broken pencil. It was pointless.,1
"I used to play piano by ear, but now I use my hands.",1
"I walked into a store and asked the clerk if they had any 2023 calendars. He said, 'No, we’re all out of dates.'",1
Why did the scarecrow win an award? Because he was outstanding in his field.,1
I can't believe I got fired from the calendar factory. All I did was take a day off.,1
"I told my computer I needed a break, and now it won’t stop sending me Kit-Kats.",1
"I used to play piano by ear, but now I use my hands.",1
I tried to catch some fog yesterday. I mist.,1
"I don’t suffer from insanity, I enjoy every minute of it.",1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
What do you call fake spaghetti? An impasta.,1
I couldn’t figure out how to put my seatbelt on. Then it clicked.,1
What do you call a pile of cats? A meow-tain.,1
I accidentally swallowed a couple of Scrabble tiles. My next trip to the bathroom could spell disaster.,1
"I’d tell you a chemistry joke, but I know I wouldn’t get a reaction.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I'm a huge fan of wind turbines. I think they're absolutely fan-tastic.,1
I tried to start a band called '1023MB' – we haven't got a gig yet.,1
I just found out I’m allergic to rubber. I’m having a latex reaction.,1
I don’t trust people who do acupuncture—they’re back stabbers.,1
I got a job at a bakery because I kneaded dough.,1
I don’t trust stairs because they’re always up to something.,1
"I’d tell you a joke about an elevator, but it’s an uplifting experience.",1
"I used to be a baker, but I couldn't make enough dough.",1
I’m reading a book about anti-gravity. It’s impossible to put down.,1
I don't trust stairs. They're always up to something.,1
I told my wife she was drawing her eyebrows too high. She looked surprised.,1
Why don't skeletons fight each other? They don't have the guts.,1
"I have a fear of speed bumps, but I'm slowly getting over it.",1
I don't trust people who do acupuncture—they're back stabbers.,1
I once got into a fight with a broken pencil. It was pointless.,1
I'm on a whiskey diet. I’ve lost three days already.,1
I’m friends with all electricians because we have good current connections.,1
"I asked the librarian if the library had any books on suicide prevention. She said, 'They’re in the back, but I’m afraid you’ll check them out.'",1
"I know a joke about a pencil, but it’s pointless.",1
I once got into a fight with a broken pencil. It was pointless.,1
"I used to play piano by ear, but now I use my hands.",1
